product,categoryid
"['倍', '视亲', '高端', '定制', '电子', '相框', '寸大', '画面', '数码', '相框', '青春', '款版']",1
"['新科', '寸', '移动', '便携式', '影碟机', '高', '清屏', '播放器', '带', '小', '电视']",1
"['德国', '拜亚', '话筒']",1
"['蓝牙', '音箱', '白色']",1
"['定时', '编程', '功放', '定压', '功放', '广播', '功放', '背景音乐', '功放', '功率', '放大器', '功放', '校园', '功放', '定压', '功放']",1
"['吉蓝', '蓝牙', '耳机', '支持', '苹果', '三星', '小米', '白色']",1
"['红', '兔子', '苹果', '分线器', '一拖', '四', '转换器']",1
"['迪士尼', '儿童', '相机', '高清', '儿童', '相机']",1
"['狗头', '包', '新款', '单反相机', '包', '佳能', '三角', '包', '浪漫', '狗', '尼康']",1
"['好易通', '电子词典', '魅力', '黑']",1
"['金士顿', '全', '新版', '金黄色', '银色']",1
"['万利达', '数码', '相框', '寸', '数字', '屏', '多功能', '数码', '相框', '正品', '行货', '全国', '免', '运费']",1
"['硕美科', '入耳式', '耳塞', '红色']",1
"['倍', '斯特', '彩鑫', '移动', '电源', '毫安', '苹果', '小米', '充电', '宝']",1
"['莱彩', '光学', '防抖', '高清', '数码', '摄像机', '可', '外加', '镜头', '和', '有线', '麦克']",1
"['不见不散', '无线', '蓝牙', '迷你', '通话', '车载', '低炮', '音箱', '柠檬黄']",1
"['飚', '王彩星', '集线器', '分线器', '高速', '扩展', '坞']",1
"['爱仕帝', '迷你', '保护套', '粉红色']",1
"['迪士尼', '儿童', '数码相机', '公主']",1
"['新迪尔迪菲猫', '保护套', '苹果', '保护套', '代', '硅胶', '手机', '外壳', '适用', '苹果', '粉色']",1
"['尼康', '单机', '黑色']",1
['存储卡'],1
"['迪思', '拜尔', '钻石', '保护膜', '进口', '材料']",1
"['炫彩', '数据线', '适用', '于', '三星', '小米', '红米', '魅族', '等', '彩色', '磁铁', '短线', '配件', '活力', '黄']",1
"['佳能', '数码相机', '黑色']",1
"['乐歌', '蓝牙', '耳机', '立体声', '手机', '耳机']",1
"['索尼', '录音笔', '金色']",1
"['索尼', '数码', '照相机', '万', '像素', '倍长', '焦', '相机']",1
"['尼康', '数码', '单反相机', '机身']",1
"['现代', '黑色', '蓝牙', '耳机', '苹果', '三星', '小米', '通用', '立体声']",1
"['鹅颈式', '会议', '话筒']",1
"['慧海', '数码', '便携', '音箱', '电筒', '小', '音箱', '笔记本', '音响', '卡', '收音机']",1
"['佳能', '数码相机', '粉色', '套餐', '五']",1
"['卡色', '多层', '滤镜', '卡色']",1
"['合并式', '功放机', '功放', '定压', '功放', '六', '分区', '广播', '功放', '功放机', '背景音乐', '功放机', '功率', '放大器', '六', '分区', '功放']",1
"['高坚', '品红', '镜']",1
"['迪士尼', '儿童', '数码相机', '玩具', '总动员']",1
"['索尼', '微单', '经典', '人像', '双', '镜头', '套装', '黑色', '优惠', '套餐', '十一']",1
"['耐司', '多膜', '适合', '宾得', '镜头', '进口', '玻璃', '双面', '层', '镀膜', '无', '暗角']",1
"['宾得', '数码单反', '镜头', '黑色', '套餐', '一']",1
"['海鸥', '镜', '滤镜', '海欧镜']",1
"['爱易思', '蓝牙', '耳机', '黑色']",1
"['爱国者', '月光宝盒', '蓝牙', '耳机', '白色']",1
"['中华人民共和国', '国家', '环境保护', '标准', '环境', '标志', '产品', '技术', '要求', '摄像机']",1
"['咔', '咔鱼', '屏幕', '膜', '抗', '电磁波', '防刮', '系列', '防辐射', '寸', '笔记本', '屏幕', '保护膜']",1
"['卡西欧', '电子词典', '蔷薇', '红', '英汉', '电子词典', '专注', '英语', '学习', '权威', '辞典', '完整', '收录', '寸']",1
"['沃伦', '卡', '保护套', '休眠', '电纸', '书', '保护套']",1
"['四', '通道', '控制器']",1
"['单电包', '相机包', '尼康', '相机', '含', '尼克尔', '镜头', '专用', '包']",1
"['铁三角', '枪式', '立体声', '电容', '话筒']",1
"['努比亚', '大牛', '四核', '智能', '三网', '通用', '手机', '万', '像素', '黑色', '版三网', '通用', '官方', '标配']",1
"['科奈信', '蓝牙', '耳机', '立体声', '环绕', '立体', '音', '听歌', '蓝牙', '时尚', '耳机', '通用']",1
"['通用', '数码相机', '白色']",1
"['索爱寸', '触摸', '按键', '两用', '高清', '收音机', '视频', '输出']",1
"['乐迈', '蓝牙', '耳机', '白']",1
"['哈迪', '森', '新款', '复古', '休闲', '单反', '摄影包', '单肩', '斜', '跨', '背包', '相机包']",1
"['妮佳', '毫安', '十二生肖', '移动', '电源', '充电', '宝', '充电器', '猪']",1
"['现代', '演绎', '智能', '穿戴', '蓝牙', '手表', '插', '手机卡', '拍照', '支持', '手机', '内存卡', '防', '丢失', '双卡通', '话', '黑色', '官方', '标配']",1
"['亚马逊', '英寸', '平板', '电脑', '黑四核', '套餐', '七']",1
"['卡西欧', '英汉', '学习', '电子辞典', '蜜桃', '粉']",1
"['佳能', '镜头']",1
"['爱国者', '月光宝盒', '英寸', '播放器', '存储', '黑色']",1
"['三星', '数码相机', '黑色']",1
"['澳洲', '小', '野人', '中性', '专业', '摄影', '单肩', '包']",1
"['英', '诺尔', '新款', '促销', '磁带', '转换器', '磁带', '播放器', '转化', '迷你', '复古', '播放器']",1
"['三星', '播放器', '经典', '延续']",1
"['耐司', '授权', '超薄', '圆形', '偏振镜', '偏光镜', '带', '防伪']",1
"['登品', '镜头', '盖', '中间', '捏', '带防', '丢', '绳子', '适配', '腾龙', '镜头', '盖', '佳能', '镜头', '盖', '尼康', '镜头', '盖', '镜头', '盖']",1
"['天马', '兼容', '佳能', '遮光罩', '适用', '佳能']",1
"['咔', '咔鱼', '屏幕', '膜', '抗', '电磁波', '防刮', '系列', '防辐射', '笔记本', '屏幕', '保护膜']",1
"['品胜', '镜头', '笔碳头', '毛刷', '单反', '镜头', '清洁', '必备', '工具', '摄影', '必备']",1
"['保护套', '紫红色']",1
"['苹果', '多功能', '读卡器', '相机', '套件', '卡', '读卡器', '透明']",1
"['迪士尼', '乐奇', '儿童', '数码相机', '早教', '益智', '玩具', '汽车']",1
"['轻装', '时代', '悬臂', '云台', '三脚架', '通用', '云台', '打鸟', '云台', '观鸟', '吊臂', '云台']",1
"['索尼', '录音笔', '内存', '数码', '录音', '棒', '智能', '降噪', '远距', '高清', '支持', '音乐', '录音机', '黑色']",1
"['西可', '移动', '电源', '毫安']",1
"['京华', '一键', '录音', '录像', '彩色', '显屏', '录音笔', '锖色']",1
"['新', '境界', '遮光罩']",1
"['相纸', '自拍镜', '配件', '富士', '拍', '立得', '相机', '套餐', '粉蓝', '黄', '黑白']",1
"['迪士尼', '史迪奇', '智能', '音响', '耳朵', '屏幕', '夹', '音响', '爱心', '礼物']",1
"['富图', '宝炫彩', '青花瓷', '超轻', '旅行', '型', '三脚架', '套装']",1
