product,categoryid
"['佳能', '套', '机套', '机', '套餐', '八']",1
"['威高', '镜头', '清洁', '套装']",1
"['承诺', '通', '移动', '电源', '充电', '宝', '糖果', '色', '便携式', '移动', '电源', '水果', '香', '材质', '自带', '香味', '适用', '三星', '索尼', '小米', '华为', '联想', '酷派', '华为', '索尼', '等', '数码', '所有', '接口', '设备', '充电', '宝', '小精灵', '高品质', '超', '实惠', '经', '第三方', '专业', '机构', '检测', '认证', '品质', '有', '保证', '黄色']",1
"['飚', '王', '读卡器']",1
"['理光', '镜头', '单元', '黑色']",1
"['新款', '苹果电脑', '包寸寸寸', '内胆', '包', '电脑包', '保护', '套袋', '寸']",1
"['品胜', '薄彩', '移动', '电源', '充电', '宝', '毫安', '湖水', '蓝']",1
"['节奏', '坦克', '小夜曲', '声卡']",1
"['迪思', '拜尔', '代代', '防', '偷窥', '保护膜']",1
"['三星', '微型', '单电套', '机', '黑色', '套餐', '四']",1
"['富士', '史迪奇', '卡通', '花边', '拍', '立得', '一次', '成像', '相纸', '胶片']",1
"['金贝', '摄影', '灯', '闪光灯', '单灯', '柔光', '箱', '套装', '服装', '摄影', '产品', '拍摄']",1
"['尼康', '单反', '机身']",1
"['专业', '话筒', '线双', '公转', '双', '卡农', '公头', '转', '音响', '调音台', '线材', '米']",1
"['飞利浦', '播放器', '跑步', '运动型', '夹子', '播放器']",1
"['源欣琪', '彩口', '分线器', '集线器', '多口', '扩展器', '分线器']",1
"['琴谱', '桌面', '发烧音响', '觉', '套装']",1
"['金钟', '数码', '摄影', '单反相机', '三脚架', '云台', '系列', '三维', '云台']",1
"['索尼', '卡尔蔡', '司', '镜头']",1
"['富士', '拍', '立得', '相机', '白色', '富士', '拍', '立得', '必备', '配件', '套装', '白色']",1
"['诺鑫乐', '高', '清盘', '储存', '高清', '摄像', '盘', '高清', '微型', '摄像机', '内存', '家用', '安防', '摄像机']",1
"['佳能', '镜头', '黑色']",1
"['金士顿', '系列', '存储卡']",1
"['信乐', '专业', '便携', '三脚架', '碳纤维', '数码相机', '单反', '三脚架', '碳素']",1
"['宾得', '长', '焦定', '焦', '镜头']",1
"['激光', '水平仪', '投线', '仪', '专用', '铝合金', '三角架', '米']",1
"['飚', '王', '琥珀', '多功能', '多', '合一', '读卡器']",1
"['斯丹德', '尼康', '微单', '相机', '手柄', '专业', '单电', '相机', '手柄']",1
